,generations,references
0,"**One cannot simply ask ""what is the meaning of life"" because the meaning of life is not a fixed, predetermined thing, and there are many different interpretations of what life is all about.  ** 

This is a statement","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,"Please provide the context for the article. 


Please provide the article you would like me to summarize. I can then provide you with a one-sentence summary.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,Please provide the text you would like me to summarize.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,"Please provide a one sentence summary. 


I just want to share this with you guys because I think it's important to talk about.  It's about the importance of being able to call each other by our","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,Please provide the text from the article you want me to summarize.,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,"The article discusses the planned merger of two major tech companies, Google and Microsoft.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,Please provide the text you would like me to summarize. I'm ready to help!,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"Please summarize the article in one sentence.


Please provide the text that you would like summarized.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,"In the past, it has not been easy for college students to graduate on time and as a result they are having problems reducing the rate at which they are leaving college.  It is extremely important that we address this problem.","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,"Please provide the article text.
 


Please provide the article text and I'll be able to summarize it for you in one sentence.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
