,generations,references
0,"Please provide the text to summarize. 


Please provide the text you would like me to summarize.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,"This article does not provide any context for me to summarize. 


To summarize an article, I need the actual text of the article. 

Please provide the text of the article.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,"""Please provide the text""


**Please provide the text so I can summarize it.**","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,Please provide the article you would like me to summarize.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,"I am a helpful assistant that summarizes text. 
 
This research shows that people who engage in moderate exercise and healthy eating habits can experience a reduction in symptoms of anxiety and depression.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,"Please provide the article you are summarizing. 


I'm ready to summarize! Just paste the link or the text of the article.","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,"The article discusses the ethical implications of British Airways' upcoming FlyRight membership program.

**Summary:** British Airways' upcoming FlyRight membership program faces ethical scrutiny due to its implementation at the expense of long-haul passengers.


Do you have a better idea of what is being discussed here? 

Please provide the","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"You want to know about the true meaning of the word ""empty."" It is meaningless. 

This is the real meaning of ""empty"": it's about feeling truly connected to others. 

Give me an example of this. 
Here is an example:
* **The movie theater was empty",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,The article you provided is blank. Please provide me with the article so I can summarize it for you.,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,"Please provide the text you want me to summarize. 

I'm ready to help!",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
