,generations,references
0,"The article is about the lack of affordable housing options for homeless individuals after their rough encounters with the city streets ""","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,"Police conducted a series of searches in Edinburgh, recovering firearms, ammunition, and a large sum of money, leading to an arrest.","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,"**It is unclear what exactly transpired but a group of people are being accused of hate crimes against the victim, which also involved him being subjected to degrading and humiliating acts, and the alleged actions against him were related to the victim's mental state.**","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,"The former Arsenal goalkeeper who played for Reading and West Bromwich Albion, was appointed Youth Academy Director in 2000 and Director of Football since 2003 and played a key role in the Championship club winning promotion in 2006 and 2012.

**Explanation:**","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,"Scientists have discovered that starving yourself for five days helped mice improve insulin production and reverse type 2 diabetes. 
Despite being a short-term approach, the effects were long-lasting, providing a promising avenue for treating the disease. 

**Note:** This summary is one sentence based on the information provided.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,Here are some of the most common problems that arise when,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,"The article focuses on the recent allegations of a leaked report detailing how the organization British Athletics provides opportunities to young athletes, while also throwing shade on the decision-making process of its peers. 


This summary is not the correct summary of the article. The article focuses on the actions of a high performance team rider who","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"Here is the summary: Despite the financial help of the government and his own perseverance, Steve Byrne's career has been a success in the comedy world despite relying on clubs that view high-profile talent as a detriment.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,"**The article discusses the potential reasons why BT might create a new set of pension schemes that could create a more complicated financial structure and potentially delay or hinder a potential merger. The author believes that this new structure might be politically challenging, even though it would ultimately benefit BT.** 


Is this a good summary? Why","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,"Celtic's manager, Brendan Rodgers, is looking forward to his side’s performance in the semi-final of the domestic treble, acknowledging their high level of performance in previous games.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
