,generations,references
0,"Please provide the article text. 


The article you provided is empty. I need the article text to summarize it.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,Please provide the text you would like me to summarize.,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,Please provide the article text you would like me to summarize.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,"Please provide the article you would like summarized. 


Please provide the article you need summarized!  I'm ready to help you condense it into a single sentence. 😊","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,"Please provide the article. 
 

Please provide the article so I can summarize it for you.","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,Please provide the text you want me to summarize.,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,Please provide the article you want to be summarized in one sentence.,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"Please provide the article text. 


Please provide the text so I can summarize it for you.",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,Please provide me with the article you would like me to summarize.,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,"The purpose of this study is to investigate the role of the predictor variable in predicting the target variable. This is a common research practice in many disciplines and is often used to explain and understand relationships between variables. 

In addition, this study aims to develop and test a new theoretical model in which the predictor variable plays",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
