,generations,references
0,"I'm ready to summarize! 
Give me the text.","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,Please provide the article you'd like summarized.  I need the actual text to accurately summarize it. 😊,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,"This article details the rise of artificial intelligence and its impact on society, focusing on its potential to automate tasks and improve efficiency.","Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,Please provide the text that you would like me to summarize.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,**The study of how our body responds to different types of physical activities and their impact on our bodies is called kinesiology. It explores how our bodies move,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,Please provide the text you would like me to summarize.,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,Please provide a one-sentence summary of the article.,"A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"The article you provided describes the process of finding success within an organization, focusing on the importance of building a strong foundation by establishing clear goals and working diligently",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,"Please provide a one-sentence summary of the following article.

Please provide the context of the article is this one:

The article discusses the advantages and","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,Please summarize the article in one sentence.,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
