,generations,references
0,"The article discusses the difficulties of predicting the impact of climate change on human health and well-being.


The article you provided focuses on the complexities faced by","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,Please provide a one sentence summary of the following text.,"A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,Please provide a one-sentence summary of the article.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,"**Please summarise the article in one sentence.** 
 
Please Note:  I am not able to process images.","West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,"I am looking for an answer that is one sentence. 
The following are the key points of the article: 
• The 202","The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,**Please provide the text you would like me to summarize.**,"Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,"Please provide the text that you want summarized. 

I will then analyze the text and provide you with a one-sentence summary.","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"Here is the article  You should be able to summarize it in one sentence.


The article tells about the importance of stand-up comedy and",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,"The article discusses the benefits of adopting sustainable energy solutions by highlighting the potential benefits to the environment and the potential for economic growth.


This is incorrect because the","The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,"I need to see the text you want me to summarize. 
Please provide the article you want me to summarize.",Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
