,generations,references
0,"Please provide a one-sentence summary of the article. 

**Summary:**
The article discusses the housing market in the United States. It","There is a ""chronic"" need for more housing for prison leavers in Wales, according to a charity."
1,"Please provide the one sentence summary of the news story. 


I'm actually looking for a concise summary of the article you are providing. For example","A man has appeared in court after firearms, ammunition and cash were seized by police in Edinburgh."
2,Please note that this is a request for a one-sentence summary of a text.,"Four people accused of kidnapping and torturing a mentally disabled man in a ""racially motivated"" attack streamed on Facebook have been denied bail."
3,Please provide the appropriate one-sentence summary of the provided text.,"West Brom have appointed Nicky Hammond as technical director, ending his 20-year association with Reading."
4,This single sentence summarizes the article:  **The article describes a study that shows a positive impact of using artificial intelligence to personalize cancer treatment plans based on individual,"The pancreas can be triggered to regenerate itself through a type of fasting diet, say US researchers."
5,"The following is a summary of the article in one sentence: 
 
  While it is clear that the merger of technology in","Since their impending merger was announced in January, there has been remarkably little comment about the huge proposed deal to combine Essilor and Luxottica."
6,"Please provide the article you want summarized. 

I am missing the article to summarize it.  Please provide it!","A ""medal at any cost"" approach created a ""culture of fear"" at British Cycling, says former rider Wendy Houvenaghel."
7,"The importance of sleep in maintaining a healthy balance of hormones. 

Did that help answer your question? 

Please let me know if you have any",Have you heard the one about the computer programmer who bought a failing comedy club in Texas and turned it into a million dollar a year business?
8,I think you're asking for a single sentence summary of an article that you provided but haven't included the actual text. Could you please share the,"The reaction from BT's investors told us much about media regulator Ofcom's ruling on the fate of Openreach, the BT subsidiary that provides much of the UK's broadband infrastructure."
9,Please provide the text for me so I can summarize it for you.,Manager Brendan Rodgers is sure Celtic can exploit the wide open spaces of Hampden when they meet Rangers in Sunday's League Cup semi-final.
