rouge1_fmeasure,rouge1_precision,rouge1_recall,rouge2_fmeasure,rouge2_precision,rouge2_recall,rougeL_fmeasure,rougeL_precision,rougeL_recall,rougeLsum_fmeasure,rougeLsum_precision,rougeLsum_recall,Q_budget,alpha,EtE,Ex_num,n_length,eps
0.0953503772616386,0.0927098616957664,0.1111322864890098,0.0,0.0,0.0,0.0824890285730362,0.078215941786766,0.0979987680912017,0.0766054093837738,0.073184885084629,0.0905259400606155,64,2,False,3.0,128,2
0.0883265808224678,0.101381316781044,0.1005473136901855,0.0,0.0,0.0,0.0748130679130554,0.0902588739991188,0.0826649516820907,0.0748841911554336,0.0900269597768783,0.083539955317974,64,2,False,3.0,128,4
0.0740630477666854,0.070677526295185,0.0936455354094505,0.0026666666381061,0.0018867924809455,0.0045454548671841,0.0576872453093528,0.0562311187386512,0.0732461735606193,0.0562147684395313,0.0521295368671417,0.0747653022408485,64,2,False,3.0,128,2
0.0663968622684478,0.0809844508767128,0.0677096843719482,0.0,0.0,0.0,0.0513802468776702,0.0584844537079334,0.0563022717833519,0.0486024692654609,0.0565976612269878,0.0510391183197498,64,2,False,3.0,128,4
0.0720527023077011,0.0823966711759567,0.0978577509522438,0.0082051288336515,0.0145408166572451,0.0094758067280054,0.0629079490900039,0.0758966654539108,0.0817452147603035,0.0658930242061615,0.0778966695070266,0.0876275673508644,64,2,False,3.0,128,6
0.0656260997056961,0.061659462749958,0.0816838964819908,0.0028571428265422,0.002272727433592,0.0038461540825664,0.0599071383476257,0.0573964230716228,0.0727170333266258,0.0617045275866985,0.056396298110485,0.078558899462223,64,2,False,3.0,128,8
0.0676896125078201,0.0728732943534851,0.0720773339271545,0.0,0.0,0.0,0.0574819147586822,0.0633549243211746,0.0591104701161384,0.0606565177440643,0.0659864991903305,0.0631104633212089,64,2,False,3.0,128,10
0.0740765333175659,0.091574914753437,0.0716849118471145,0.0,0.0,0.0,0.0694253742694854,0.0853249132633209,0.0679812058806419,0.0647742077708244,0.0790749117732048,0.0642775073647499,64,2,False,3.0,128,20
0.0872059315443039,0.0720175951719284,0.1237880960106849,0.0,0.0,0.0,0.0644295662641525,0.0537656024098396,0.0927456095814704,0.0756864249706268,0.0632761791348457,0.1061504930257797,64,2,False,3.0,128,40
0.0693291276693344,0.0798500180244445,0.0868520364165306,0.0027027027681469,0.0019607844296842,0.0043478263542056,0.0589237213134765,0.0727048814296722,0.0676300674676895,0.0591264255344867,0.0685851424932479,0.0735373422503471,64,2,False,3.0,128,80
0.0955840498208999,0.1029177457094192,0.1149612218141555,0.0029411765281111,0.0027027027681469,0.0032258064020425,0.0731298327445983,0.077930673956871,0.087672159075737,0.0736017376184463,0.0782864019274711,0.0882913544774055,64,2,False,3.0,128,100
0.076426088809967,0.0965494289994239,0.0699245631694793,0.0,0.0,0.0,0.0592559799551963,0.0747847259044647,0.0544561520218849,0.0592559799551963,0.0747847259044647,0.0544561520218849,64,2,False,3.0,128,500
0.1864568442106247,0.1595869362354278,0.2454930990934372,0.034791313111782,0.0310658309608697,0.0399621240794658,0.1360356211662292,0.1178193241357803,0.1770644932985305,0.1390659213066101,0.1198601499199867,0.1829468458890915,64,2,False,3.0,128,5000000
0.0787122100591659,0.0838846713304519,0.0781220942735672,0.0,0.0,0.0,0.0650733634829521,0.0699913874268531,0.0643693655729293,0.0704568848013877,0.0733291134238243,0.0712933838367462,32,2,False,3.0,256,2
0.1019803658127784,0.105504110455513,0.101646289229393,0.0,0.0,0.0,0.0805742740631103,0.0851201489567756,0.0789267048239708,0.0821844488382339,0.0857642590999603,0.0816840529441833,32,2,False,3.0,256,4
